#,Game Title,Description,Genre,Age Rating,Price
366,Age of Empires IV,Modern take on historical RTS.,Strategy,10+,59.99
367,Age of Mythology: Retold,Myth‑based RTS remake.,Strategy,10+,59.99
368,Company of Heroes 2,WWII squad‑based RTS.,Strategy,13+,19.99
369,Company of Heroes 3,Mediterranean WWII RTS.,Strategy,13+,59.99
370,Men of War II,Realistic WWII tactical RTS.,Strategy,13+,49.99
371,Stronghold Crusader HD,Castle‑building medieval RTS.,Strategy,10+,9.99
372,Stronghold: Warlords,East‑Asian castle RTS.,Strategy,10+,49.99
373,Northgard,Viking‑themed RTS.,Strategy,10+,29.99
374,They Are Billions,Steampunk zombie RTS survival.,Strategy,13+,29.99
375,Frostpunk,Survive and manage a frozen city.,City Builder,13+,29.99
376,Cities: Skylines,Build and manage a modern city.,City Builder,10+,29.99
377,Tropico 5,Rule an island as a dictator.,City Builder,13+,29.99
378,Anno 2205,Futuristic city‑building.,City Builder,10+,49.99
379,Banished,Manage a struggling medieval settlement.,City Builder,10+,19.99
380,Planetbase,Build a colony on distant planets.,Colony Sim,10+,19.99
381,RimWorld: Royalty,Expansion adding quests and factions.,Colony Sim,13+,19.99
382,RimWorld: Ideology,Expansion adding belief systems.,Colony Sim,13+,19.99
383,RimWorld: Biotech,Expansion adding genetics and children.,Colony Sim,13+,24.99
384,Oxygen Not Included,Manage a deep‑space colony.,Colony Sim,10+,24.99
385,Timberborn,Beaver‑based city building.,City Builder,10+,24.99
386,Dyson Sphere Program,Build a galaxy‑wide factory.,Automation Sim,10+,19.99
387,Satisfactory,Build massive automated factories.,Automation Sim,10+,29.99
388,Factorio,Build and optimize factories.,Automation Sim,10+,35
389,Shapez,Minimalist factory automation.,Automation Sim,10+,9.99
390,Autonauts,Automate tasks with robots.,Automation Sim,10+,19.99
391,Slime Rancher,Collect and raise slimes.,Farming Sim,10+,19.99
392,Slime Rancher 2,Explore a colorful slime world.,Farming Sim,10+,29.99
393,Farming Simulator 19,Manage a modern farm.,Farming Sim,10+,29.99
394,Farming Simulator 22,Updated farming experience.,Farming Sim,10+,49.99
395,Stardew Valley,Cozy farming and life sim.,Farming Sim,10+,14.99
396,Graveyard Keeper,Medieval cemetery management.,Management Sim,13+,19.99
397,Spiritfarer,Manage a ferry for spirits.,Adventure,10+,29.99
398,My Time at Portia,Crafting and life simulation.,Life Sim,10+,29.99
399,My Time at Sandrock,Sequel with expanded crafting.,Life Sim,10+,39.99
400,The Sims 3,Life simulation with expansions.,Life Sim,10+,19.99
401,The Sims 4,Life simulation with endless customization.,Life Sim,10+,0
402,House Flipper 2,Renovate and design homes.,Simulation,10+,39.99
403,PowerWash Simulator,Clean objects with high‑pressure water.,Simulation,10+,24.99
404,Car Mechanic Simulator 2021,Repair and restore vehicles.,Simulation,10+,29.99
405,PC Building Simulator 2,Build and repair PCs.,Simulation,10+,24.99
406,Cooking Simulator,Prepare meals in a realistic kitchen.,Simulation,10+,19.99
407,Thief Simulator,Stealth‑based burglary gameplay.,Stealth,13+,19.99
408,Drug Dealer Simulator,Manage an illegal business (fictional).,Crime Sim,17+,19.99
409,Internet Cafe Simulator,Build and run a gaming café.,Management Sim,10+,19.99
410,Gas Station Simulator,Restore and run a gas station.,Management Sim,10+,19.99
411,Lumberjack’s Dynasty,Manage a lumber business.,Simulation,10+,29.99
412,Medieval Dynasty,Build a village and survive.,Survival RPG,13+,34.99
413,Wild West Dynasty,Build a settlement in the Old West.,Survival RPG,13+,29.99
414,Stranded Deep,Survive on remote islands.,Survival,13+,19.99
415,Green Hell,Survive in the Amazon rainforest.,Survival,17+,24.99
416,The Infected,Survive against creatures and nature.,Survival,13+,19.99
417,Medieval Engineers,Build medieval structures.,Sandbox Builder,10+,19.99
418,Space Haven,Manage a crew in space.,Colony Sim,10+,24.99
419,Starbound,Explore planets in a 2D universe.,Sandbox Adventure,10+,14.99
420,Noita,Physics‑based magic roguelike.,Roguelike,13+,19.99
421,Hollow Knight: Silksong (Upcoming),Metroidvania sequel.,Metroidvania,10+,TBD
422,Ori and the Will of the Wisps,Emotional platforming adventure.,Platformer,10+,29.99
423,Rain World,Survive as a small creature in a harsh world.,Survival Platformer,13+,19.99
424,Dead Cells: Return to Castlevania,DLC expansion with new content.,Roguelite,13+,9.99
425,Blasphemous,"Dark, brutal action platformer.",Action Platformer,17+,24.99
426,Blasphemous 2,Sequel with refined combat.,Action Platformer,17+,29.99
427,Salt and Sanctuary,2D souls‑like action.,Action RPG,17+,19.99
428,Salt and Sacrifice,Sequel with co‑op options.,Action RPG,17+,29.99
429,Dark Devotion,Challenging 2D action RPG.,Action RPG,17+,19.99
430,Hyper Light Drifter,"Fast, stylish action adventure.",Action Adventure,10+,19.99
431,Hyper Light Breaker (Early Access),Open‑world action sequel.,Action Adventure,13+,29.99
432,Tunic,Zelda‑like adventure with secrets.,Adventure,10+,29.99
433,Death’s Door,Beautiful action adventure about souls.,Action Adventure,10+,19.99
434,Kena: Bridge of Spirits,Story‑driven action adventure.,Action Adventure,10+,39.99
435,Stray,Explore a cybercity as a cat.,Adventure,10+,29.99
436,Little Misfortune,"Dark, narrative adventure.",Adventure,13+,14.99
437,Fran Bow,Psychological point‑and‑click adventure.,Adventure,17+,14.99
438,Oxenfree,Supernatural mystery adventure.,Adventure,13+,9.99
439,Oxenfree II: Lost Signals,Sequel with expanded story.,Adventure,13+,24.99
440,The Wolf Among Us,Noir detective story.,Adventure,17+,14.99
441,The Walking Dead: Season One,Emotional survival narrative.,Adventure,17+,14.99
442,The Walking Dead: Season Two,Continue Clementine’s journey.,Adventure,17+,14.99
443,The Walking Dead: A New Frontier,Story‑driven survival.,Adventure,17+,14.99
444,The Walking Dead: The Final Season,Clementine’s final chapter.,Adventure,17+,19.99
445,Tales from the Borderlands,Comedy adventure in the Borderlands universe.,Adventure,13+,14.99
446,Batman: The Telltale Series,Narrative detective adventure.,Adventure,13+,14.99
447,Batman: The Enemy Within,Sequel with deeper choices.,Adventure,13+,14.99
448,Life is Strange Remastered,Updated version of the original story.,Adventure,13+,29.99
449,Life is Strange: Before the Storm,Prequel story.,Adventure,13+,16.99
450,Life is Strange 2,Road‑trip narrative adventure.,Adventure,13+,39.99
451,Detroit: Become Human,Narrative sci‑fi story about androids.,Adventure,13+,39.99
452,Heavy Rain,Mystery thriller with branching choices.,Adventure,17+,19.99
453,Beyond: Two Souls,Supernatural narrative adventure.,Adventure,13+,19.99
454,Alan Wake Remastered,Horror mystery thriller.,Horror Adventure,17+,29.99
455,Control: Ultimate Edition,Supernatural action in a shifting building.,Action Adventure,17+,39.99
456,Quantum Break,Time‑bending action shooter.,Action Adventure,17+,39.99
457,Sunset Overdrive,Colorful open‑world chaos.,Action,13+,19.99
458,Hi‑Fi Rush,Rhythm‑based action combat.,Rhythm Action,10+,29.99
459,Ori and the Blind Forest,Emotional platforming adventure.,Platformer,10+,19.99
460,Ori and the Will of the Wisps,Expanded platforming adventure.,Platformer,10+,29.99
461,Hollow Knight,Explore a vast insect kingdom.,Metroidvania,10+,14.99
462,Axiom Verge,Retro‑style sci‑fi Metroidvania.,Metroidvania,10+,19.99
463,Axiom Verge 2,Sequel with new worlds.,Metroidvania,10+,29.99
464,Dead Cells,Fast roguelite platformer.,Roguelite,13+,24.99
465,Hades,Escape the Underworld in a roguelike.,Action Roguelike,13+,24.99
466,Hades II (Early Access),Sequel with new gods and weapons.,Action Roguelike,13+,29.99
467,Risk of Rain Returns,Remake of the original roguelike.,Action Roguelike,10+,14.99
468,Wizard of Legend,Fast spell‑casting action.,Action Roguelike,10+,15.99
469,Children of Morta,Family‑based action RPG.,Action RPG,10+,21.99
470,Moonlighter,Shopkeeping meets dungeon crawling.,Action RPG,10+,19.99
471,CrossCode,Retro‑style action RPG.,Action RPG,10+,19.99
472,Ender Lilies,Dark fantasy Metroidvania.,Metroidvania,13+,24.99
473,Salt and Sanctuary,2D souls‑like action.,Action RPG,17+,19.99
474,Salt and Sacrifice,Sequel with co‑op.,Action RPG,17+,29.99
475,Dark Souls Remastered,Classic challenging action RPG.,Action RPG,17+,39.99
476,Dark Souls II: Scholar of the First Sin,Expanded edition of DS2.,Action RPG,17+,39.99
477,Dark Souls III,Epic dark fantasy combat.,Action RPG,17+,59.99
478,Sekiro: Shadows Die Twice,Precision samurai combat.,Action Adventure,17+,59.99
479,Elden Ring,Massive open‑world fantasy RPG.,Action RPG,17+,59.99
480,Lies of P,Pinocchio‑inspired souls‑like.,Action RPG,17+,59.99
481,Wo Long: Fallen Dynasty,Fast Three Kingdoms‑era combat.,Action RPG,17+,59.99
482,Nioh,"Fast, punishing samurai action.",Action RPG,17+,29.99
483,Nioh 2,Expanded combat and customization.,Action RPG,17+,49.99
484,Code Vein,Anime‑style souls‑like.,Action RPG,17+,59.99
485,Remnant: From the Ashes,Co‑op shooter with souls‑like elements.,Co‑op Shooter,17+,39.99
486,Remnant II,Sequel with expanded worlds.,Co‑op Shooter,17+,49.99
487,The Surge,Sci‑fi souls‑like with exosuits.,Action RPG,17+,29.99
488,The Surge 2,Improved combat and exploration.,Action RPG,17+,39.99
489,Mortal Shell,Minimalist souls‑like combat.,Action RPG,17+,29.99
490,Blasphemous,"Dark, brutal 2D action.",Action Platformer,17+,24.99
491,Blasphemous 2,Expanded sequel with new weapons.,Action Platformer,17+,29.99
492,Katana ZERO,Stylish time‑bending action.,Action,17+,14.99
493,Hotline Miami,Fast top‑down action.,Action,17+,9.99
494,Hotline Miami 2,Even more intense top‑down action.,Action,17+,14.99
495,Enter the Gungeon,Bullet‑hell roguelike shooter.,Roguelike Shooter,10+,14.99
496,Exit the Gungeon,Arcade‑style follow‑up.,Roguelike Shooter,10+,9.99
497,Nuclear Throne,Fast post‑apocalyptic roguelike.,Roguelike Shooter,13+,11.99
498,Broforce,Over‑the‑top action platformer.,Action Platformer,13+,14.99
499,Teardown,Fully destructible physics sandbox.,Sandbox,10+,29.99
500,Totally Accurate Battle Simulator,Wacky physics‑based battles.,Simulation,10+,19.99
